,population,gdp,co2,co2_growth_prct,co2_per_capita,co2_per_gdp,co2_per_unit_energy,gdp_per_capita
311,28683.0,,0.213,0.0,7.409,,0.29,
312,29000.0,,0.216,1.724,7.454,,0.291,
313,29394.0,,0.227,5.085,7.728,,0.304,
314,29763.0,,0.231,1.613,7.756,,0.305,
315,30084.0,,0.18,-22.222,5.968,,0.253,
316,30359.0,,0.161,-10.204,5.31,,0.183,
317,30631.0,,0.165,2.273,5.383,,0.234,
318,30934.0,,0.161,-2.222,5.212,,0.271,
319,396064.0,,8.017,3.518,20.243,,0.189,
320,401515.0,,9.555,19.184,23.798,,0.219,
321,406637.0,,9.5,-0.582,23.362,,0.224,
322,411704.0,,7.626,-19.724,18.523,,0.194,
323,416670.0,,8.831,15.8,21.194,,0.199,
324,421449.0,,6.933,-21.489,16.451,,0.142,
325,426001.0,,7.633,10.091,17.918,,0.149,
326,430290.0,,9.309,21.964,21.635,,0.181,
327,434283.0,,9.344,0.377,21.517,,0.175,
328,438058.0,,10.733,14.857,24.501,,0.204,
329,441736.0,,11.102,3.44,25.132,,0.201,
330,7592271.0,109045211136.0,47.808,4.477,6.297,0.438,0.226,14362.660544651264
331,7543128.0,109435363328.0,53.125,11.12,7.043,0.485,0.237,14507.955231304573
332,7488347.0,110261510144.0,48.29,-9.101,6.449,0.438,0.226,14724.412496376037
333,7431169.0,109643522048.0,42.587,-11.81,5.731,0.388,0.215,14754.545623710079
334,7372142.0,110703534080.0,45.162,6.047,6.126,0.408,0.213,15016.467951919538
335,7309255.0,114498609152.0,48.121,6.552,6.584,0.42,0.214,15664.880914949608
336,7245982.0,117979078656.0,45.337,-5.786,6.257,0.384,0.213,16281.999963013985
337,7182430.0,121237946368.0,47.431,4.618,6.604,0.391,0.217,16879.79505097857
338,7117424.0,124492857344.0,43.48,-8.33,6.109,0.349,0.199,17491.28018002019
339,7052536.0,129520074752.0,42.233,-2.868,5.988,0.326,0.2,18365.035605915375
340,6979181.0,124392792064.0,36.534,-13.495,5.235,0.294,0.187,17823.408228558623
341,16116851.0,20688336896.0,2.036,11.339,0.126,0.098,0.248,1283.646346051099
342,16602652.0,21589786624.0,2.131,4.644,0.128,0.099,0.228,1300.3818079183977
343,17113736.0,22982977536.0,2.619,22.9,0.153,0.114,0.237,1342.9550120441265
344,17636414.0,24314382336.0,2.864,9.352,0.162,0.118,0.217,1378.6466078648414
345,18169844.0,25366466560.0,2.911,1.664,0.16,0.115,0.236,1396.0750879314098
346,18718022.0,26361083904.0,3.715,27.597,0.198,0.141,0.237,1408.3263661085557
347,19275504.0,27931682816.0,3.904,5.088,0.203,0.14,0.26,1449.0766527298067
348,19835860.0,29664280576.0,4.519,15.754,0.228,0.152,0.259,1495.4874946687464
349,20392730.0,31623014400.0,5.01,10.866,0.246,0.158,0.259,1550.7003917572586
350,20951638.0,33422049280.0,5.508,9.929,0.263,0.165,0.278,1595.199825426537
351,21522632.0,34067429376.0,5.194,-5.69,0.241,0.152,0.275,1582.8653937864106
352,9126612.0,6558969344.0,0.297,76.087,0.033,0.045,0.163,718.6642035401527
353,9455737.0,6787359744.0,0.341,14.815,0.036,0.05,0.159,717.8033551483084
354,9795479.0,7086795776.0,0.352,3.308,0.036,0.05,0.174,723.4761848808006
355,10149583.0,7430922240.0,0.359,2.002,0.035,0.048,0.163,732.1406445959406
356,10494920.0,7764239872.0,0.348,-3.061,0.033,0.045,0.169,739.8093431869895
357,10727153.0,7340438016.0,0.355,2.105,0.033,0.048,0.171,684.2857574605302
358,10903329.0,7554392064.0,0.429,20.619,0.039,0.057,0.189,692.8518862450175
359,11155592.0,7833860608.0,0.513,19.658,0.046,0.065,0.186,702.2362065590064
360,11493476.0,8207327744.0,0.645,25.756,0.056,0.079,0.193,714.08577735752
361,11874838.0,8573379584.0,0.689,6.783,0.058,0.08,0.188,721.9786563825123
362,12220229.0,8635657216.0,0.736,6.814,0.06,0.085,0.208,706.669017086341
363,14363534.0,34365988864.0,5.078,11.434,0.354,0.148,0.222,2392.585895922271
